PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB
1630165,Killian Hayes,1610612751,BKN,23.0,6,162.0,5.8,4.0,1.8,2.9,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,0.0,0.4,0.4,0.4,0.2,0.0,1.0,1.0,0.5
202691,Klay Thompson,1610612742,DAL,35.0,72,1965.0,4.0,2.2,1.7,1.6,0.0,0.5,1.2,0.2,0.3,0.5,0.345,0.655,0.0,0.2,0.2,0.2,0.1,0.077,0.923,1.0,0.231
1641738,Kobe Brown,1610612746,LAC,25.0,27,245.0,6.0,3.7,2.4,1.9,0.0,1.5,3.5,1.2,0.9,2.1,0.571,0.429,0.3,1.9,2.2,2.2,1.3,0.133,0.867,1.0,0.6
1641723,Kobe Bufkin,1610612737,ATL,21.0,10,124.0,5.5,2.0,3.5,3.2,0.0,0.0,0.0,0.6,0.9,1.5,0.4,0.6,0.0,0.3,0.3,0.3,0.3,0.0,1.0,1.0,1.0
1627739,Kris Dunn,1610612746,LAC,31.0,74,1783.0,4.7,2.2,2.5,4.8,0.0,1.1,2.6,0.5,0.8,1.3,0.381,0.619,0.0,0.3,0.3,0.3,0.2,0.0,1.0,1.0,0.625
1631200,Kris Murray,1610612757,POR,24.0,61,1008.0,4.6,3.5,1.1,2.2,0.1,0.5,1.3,0.5,0.5,1.0,0.5,0.5,0.4,0.7,1.0,1.0,0.5,0.345,0.655,0.931,0.517
204001,Kristaps Porziņģis,1610612738,BOS,29.0,42,1210.0,13.2,9.3,3.9,2.0,0.0,2.5,6.2,0.3,0.4,0.6,0.429,0.571,0.2,1.5,1.7,1.6,0.6,0.103,0.897,0.948,0.362
203937,Kyle Anderson,1610612748,MIA,31.0,56,969.0,6.5,4.0,2.5,3.3,0.1,1.4,3.5,0.2,0.2,0.4,0.455,0.545,0.2,1.2,1.3,1.3,0.6,0.139,0.861,1.0,0.457
1642271,Kyle Filipowski,1610612762,UTA,21.0,71,1518.0,8.7,5.6,3.1,2.5,0.0,2.3,5.5,0.5,0.2,0.6,0.741,0.259,0.3,1.0,1.3,1.3,0.9,0.208,0.811,1.0,0.741
1628398,Kyle Kuzma,1610612749,MIL,29.0,64,1928.0,5.6,3.1,2.5,1.0,0.2,0.3,0.6,0.1,0.2,0.3,0.4,0.6,0.1,0.5,0.6,0.6,0.4,0.1,0.9,1.0,0.633
