PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,shooting_foul_pct_percentile,personal_foul_rate_percentile,age_percentile,ast_pct_percentile,composite_weighted_iq,rank_weighted_iq
1629028,Deandre Ayton,1610612757,C,40,30.1,4.7,20.8,62.0,40.8,26.3,89.8,73.5,50.7,50.3,17.3,91.0,216
1631170,Jaime Jaquez Jr.,1610612748,SF,66,20.7,38.3,5.7,92.6,7.4,50.7,25.9,45.3,75.0,19.3,61.0,90.0,217
1630183,Jaden McDaniels,1610612750,PF,82,31.9,38.3,46.0,62.0,40.4,88.0,19.2,28.8,28.7,29.7,22.7,90.0,218
1630182,Josh Green,1610612766,SG,68,27.8,32.7,66.7,21.5,35.6,61.0,89.7,17.9,28.7,29.7,15.7,90.0,219
1630174,Aaron Nesmith,1610612754,SF,45,24.9,25.7,81.1,44.4,98.1,23.7,44.4,15.1,12.3,40.7,6.3,90.0,220
204001,Kristaps Porziņģis,1610612738,C,42,28.8,35.0,43.8,62.0,40.8,44.3,22.4,49.0,16.3,74.3,34.0,89.0,221
1629640,Keldon Johnson,1610612759,SF,77,23.9,32.7,37.7,45.5,42.6,19.3,25.9,62.3,66.0,40.7,28.7,89.0,222
1629023,P.J. Washington,1610612742,PF,57,32.2,9.7,24.0,85.9,30.8,72.0,34.6,55.8,50.7,50.3,27.7,89.0,223
1629726,Garrison Mathews,1610612737,SG,47,17.6,52.7,73.8,56.9,73.6,11.3,23.0,11.9,16.3,67.7,24.0,89.0,224
203076,Anthony Davis,1610612742,C,51,33.4,32.3,2.1,46.5,14.3,72.7,67.3,8.2,75.0,84.7,62.3,89.0,225
1631101,Shaedon Sharpe,1610612757,SG,72,31.3,17.3,48.8,15.8,23.0,19.3,13.8,84.5,85.7,6.0,46.0,89.0,226
1642259,Alex Sarr,1610612764,C,67,27.1,22.0,8.3,62.0,0.0,36.0,83.7,71.4,34.0,0.0,45.3,89.0,227
1628415,Dillon Brooks,1610612745,SF,75,31.8,41.7,15.1,21.5,40.7,61.0,75.9,43.4,13.7,74.3,10.3,88.0,228
203952,Andrew Wiggins,1610612748,SF,60,30.7,28.3,94.3,21.5,31.5,38.0,31.5,7.5,80.0,74.3,42.7,88.0,229
1628374,Lauri Markkanen,1610612762,PF,47,31.4,9.0,14.0,11.1,28.8,40.0,75.0,80.8,85.7,60.7,11.3,88.0,230
1631232,Keion Brooks Jr.,1610612740,SF,14,23.7,5.3,88.7,19.5,53.7,43.0,7.4,86.8,22.0,29.7,2.7,88.0,231
1631255,Karlo Matković,1610612740,PF,42,18.8,10.0,86.0,0.0,86.5,35.0,82.7,1.9,2.0,19.3,19.0,88.0,232
1642419,Jamison Battle,1610612761,SF,59,17.7,48.3,35.8,53.5,77.8,1.7,16.7,52.8,25.0,19.3,8.3,88.0,233
1630551,Justin Champagnie,1610612764,SF,62,21.6,10.3,84.9,0.0,96.3,61.0,1.9,30.2,31.7,19.3,6.7,88.0,234
1629645,Kevin Porter Jr.,1610612749,SG,75,19.8,56.3,41.7,9.1,10.3,59.7,12.6,8.3,34.0,29.7,83.7,88.0,235
1641741,Ricky Council IV,1610612755,SF,73,17.1,52.7,5.7,0.0,0.0,29.7,35.2,84.9,85.7,19.3,34.0,88.0,236
1630577,Julian Champagnie,1610612759,SF,82,23.6,29.3,30.2,0.0,63.0,31.7,48.1,41.5,75.0,19.3,13.3,87.0,237
1642266,Ja'Kobe Walter,1610612761,SG,52,21.2,32.7,78.6,0.0,12.6,57.7,60.9,34.5,28.7,1.0,28.7,87.0,238
