Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
527,Malachi Flynn,26,CHO,PG,4,0,44,4.1,10.6,.385,0.8,3.3,.250,3.3,7.4,.444,.423,4.1,4.9,.833,2.5,3.3,5.7,5.7,2.5,0.0,3.3,3.3,13.1,,flynnma01
528,Jack McVeigh,28,HOU,PF,9,0,43,4.2,14.2,.294,3.3,10.9,.308,0.8,3.3,.250,.412,0.0,0.0,,1.7,2.5,4.2,0.8,0.0,1.7,1.7,2.5,11.7,,mcveija01
529,Bobi Klintman,21,DET,SF,8,0,42,5.1,8.6,.600,1.7,4.3,.400,3.4,4.3,.800,.700,0.9,1.7,.500,0.9,5.1,6.0,6.0,1.7,0.9,0.9,6.9,12.9,,klintbo01
530,James Johnson,37,IND,PF,12,0,37,3.9,10.7,.364,0.0,2.9,.000,3.9,7.8,.500,.364,0.0,1.0,.000,0.0,5.8,5.8,3.9,0.0,1.9,3.9,4.9,7.8,,johnsja01
531,PJ Dozier,28,MIN,SG,9,0,35,2.1,3.1,.667,2.1,3.1,.667,0.0,0.0,,1.000,1.0,6.2,.167,1.0,4.1,5.1,5.1,1.0,0.0,1.0,3.1,7.2,,doziepj01
532,Harrison Ingram,22,SAS,SF,5,0,35,2.1,4.1,.500,0.0,1.0,.000,2.1,3.1,.667,.500,0.0,0.0,,2.1,7.2,9.3,3.1,3.1,0.0,1.0,2.1,4.1,,ingraha01
533,Miles Norris,24,BOS,PF,3,0,35,2.1,9.3,.222,2.1,7.2,.286,0.0,2.1,.000,.333,1.0,2.1,.500,2.1,7.2,9.3,0.0,2.1,1.0,0.0,0.0,7.2,,norrimi01
534,David Duke Jr.,25,SAS,SG,6,0,34,6.4,14.8,.429,3.2,6.4,.500,3.2,8.5,.375,.536,1.1,2.1,.500,1.1,4.2,5.3,4.2,1.1,0.0,2.1,1.1,16.9,,dukeda01
535,D.J. Carton,24,TOR,SG,4,0,33,1.1,7.6,.143,0.0,3.3,.000,1.1,4.4,.250,.143,1.1,1.1,1.000,0.0,4.4,4.4,3.3,2.2,0.0,4.4,1.1,3.3,,cartodj01
536,Bryce McGowens,22,POR,SG,13,0,32,4.5,15.8,.286,0.0,4.5,.000,4.5,11.3,.400,.286,5.6,6.8,.833,2.3,1.1,3.4,2.3,1.1,0.0,4.5,3.4,14.6,,mcgowbr01
537,Leonard Miller,21,MIN,SF,13,0,32,6.8,16.9,.400,0.0,5.6,.000,6.8,11.3,.600,.400,9.0,9.0,1.000,3.4,9.0,12.4,0.0,2.3,1.1,2.3,2.3,22.5,,millele01
538,Ulrich Chomche,19,TOR,PF,7,0,32,2.3,5.6,.400,0.0,0.0,,2.3,5.6,.400,.400,1.1,2.3,.500,4.5,4.5,9.0,2.3,0.0,1.1,2.3,5.6,5.6,,chomcul01
539,Jalen Bridges,23,PHO,SF,8,0,30,2.4,8.4,.286,2.4,8.4,.286,0.0,0.0,,.429,3.6,4.8,.750,0.0,4.8,4.8,0.0,0.0,0.0,4.8,0.0,10.8,,bridgja01
540,Jahmir Young,24,CHI,PG,6,0,30,4.8,6.0,.800,1.2,2.4,.500,3.6,3.6,1.000,.900,2.4,2.4,1.000,1.2,2.4,3.6,7.2,0.0,0.0,1.2,2.4,13.2,,youngja05
541,Kevin McCullar Jr.,23,NYK,SF,4,0,29,2.5,8.7,.286,0.0,1.2,.000,2.5,7.4,.333,.286,2.5,2.5,1.000,0.0,9.9,9.9,2.5,1.2,1.2,0.0,7.4,7.4,,mcculke01
542,Trentyn Flowers,19,LAC,SF,6,0,27,5.3,14.7,.364,0.0,2.7,.000,5.3,12.0,.444,.364,4.0,4.0,1.000,1.3,4.0,5.3,0.0,0.0,0.0,1.3,5.3,14.7,,flowetr01
543,Emanuel Miller,24,CHI,PF,6,0,25,5.8,11.5,.500,0.0,1.4,.000,5.8,10.1,.571,.500,2.9,2.9,1.000,5.8,5.8,11.5,2.9,1.4,0.0,0.0,4.3,14.4,,milleem01
544,Daniss Jenkins,23,DET,PG,7,0,23,4.7,15.7,.300,1.6,11.0,.143,3.1,4.7,.667,.350,0.0,3.1,.000,0.0,3.1,3.1,4.7,0.0,0.0,1.6,3.1,11.0,,jenkida01
545,Anton Watson,24,NYK,SF,9,0,22,6.5,14.7,.444,0.0,1.6,.000,6.5,13.1,.500,.444,0.0,0.0,,1.6,3.3,4.9,3.3,1.6,0.0,3.3,4.9,13.1,,watsoan02
546,Tolu Smith,24,DET,PF,1,0,22,9.8,14.7,.667,0.0,0.0,,9.8,14.7,.667,.667,3.3,4.9,.667,6.5,6.5,13.1,0.0,0.0,0.0,3.3,4.9,22.9,,smithto05
547,Malevy Leons,25,OKC,SF,6,0,21,0.0,3.4,.000,0.0,1.7,.000,0.0,1.7,.000,.000,3.4,6.9,.500,1.7,3.4,5.1,1.7,0.0,0.0,1.7,6.9,3.4,,leonsma01
548,Adama Sanogo,22,CHI,C,4,0,21,6.9,12.0,.571,0.0,0.0,,6.9,12.0,.571,.571,0.0,0.0,,8.6,1.7,10.3,1.7,0.0,0.0,1.7,1.7,13.7,,sanogad01
