PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio_percentile,late_clock_efficiency_percentile,clutch_ast_tov_percentile,efg_pct_percentile,deflections_per_36_percentile,screen_assists_per_36_percentile,loose_balls_per_36_percentile,shooting_foul_pct_percentile,smart_shot_selection_percentile,age_percentile,ast_pct_percentile
1627747,Caris LeVert,1610612737,SG,64,24.9,88.0,93.5,61.7,62.7,84.0,5.0,77.3,73.2,44.2,77.0,61.6
1631166,Drew Timme,1610612751,PF,9,28.2,17.0,42.1,42.3,11.0,15.3,79.3,3.3,2.1,5.8,23.0,41.8
1630174,Aaron Nesmith,1610612754,SF,45,24.9,25.7,71.2,42.3,94.0,28.0,25.3,42.7,80.5,52.7,35.0,6.5
1630598,Aaron Wiggins,1610612760,SG,76,22.9,61.0,44.2,58.0,77.0,63.3,52.7,63.0,47.7,27.7,46.0,31.2
203497,Rudy Gobert,1610612750,C,72,33.2,25.7,92.5,10.7,97.3,28.0,97.7,3.3,77.4,95.2,90.0,11.6
1631106,Tari Eason,1610612745,PF,57,24.9,19.3,43.2,0.0,50.3,89.7,5.0,98.3,53.0,19.2,23.0,17.5
203114,Khris Middleton,1610612764,SF,37,22.8,86.3,2.4,25.7,49.0,60.3,25.3,63.0,93.7,84.9,93.0,85.3
1631105,Jalen Duren,1610612765,C,78,26.1,32.0,98.6,19.3,98.3,28.0,96.3,10.3,95.5,64.7,3.0,48.6
1641764,Brandin Podziemski,1610612744,SG,64,26.8,88.0,42.1,16.3,47.0,68.3,63.7,77.3,19.5,50.3,9.7,64.7
1628978,Donte DiVincenzo,1610612750,SG,62,25.9,74.3,43.2,94.0,65.0,88.0,40.0,63.0,44.3,90.1,63.7,68.5
1630557,Corey Kispert,1610612764,SF,61,26.3,41.7,50.0,48.3,62.7,5.7,58.3,24.7,45.6,67.1,46.0,26.0
1631110,Jeremy Sochan,1610612759,PF,54,25.3,25.7,65.1,42.3,61.0,48.3,85.0,63.0,54.4,69.2,9.7,43.2
1641739,Toumani Camara,1610612757,PF,78,32.7,30.3,51.7,14.3,52.0,75.7,76.0,63.0,77.7,83.2,35.0,25.3
1628392,Isaiah Hartenstein,1610612760,C,57,27.9,74.0,94.9,98.0,79.7,75.7,98.3,42.7,88.9,99.0,55.7,62.3
1627741,Buddy Hield,1610612744,SG,82,22.7,24.0,20.2,40.3,50.7,68.3,16.0,24.7,35.5,44.2,85.3,31.5
1629018,Gary Trent Jr.,1610612749,SG,74,25.6,61.0,19.2,15.0,64.0,79.0,5.0,3.3,30.0,91.8,46.0,5.1
201950,Jrue Holiday,1610612738,PG,62,30.6,95.3,45.5,93.3,44.3,56.0,63.7,77.3,51.2,23.3,94.7,59.6
1631117,Walker Kessler,1610612762,C,58,30.0,11.7,96.6,72.0,98.0,28.0,89.7,63.0,82.6,96.9,23.0,16.4
1629130,Duncan Robinson,1610612748,SF,74,24.1,61.0,19.2,57.7,77.0,39.7,73.0,3.3,58.5,88.4,81.0,48.6
1627824,Guerschon Yabusele,1610612755,C,70,27.1,44.7,73.6,56.7,83.3,60.3,87.7,42.7,64.8,74.0,71.3,35.6
203915,Spencer Dinwiddie,1610612742,PG,79,27.0,95.7,20.9,52.7,17.7,10.7,40.0,10.3,44.9,33.6,85.3,75.3
203501,Tim Hardaway Jr.,1610612765,SG,77,28.0,85.0,24.0,88.0,41.3,2.0,73.0,10.3,30.7,47.9,90.0,12.7
1641729,Brice Sensabaugh,1610612762,SF,71,20.2,5.3,35.3,26.7,84.3,39.7,16.0,42.7,36.9,75.0,3.0,37.0
203992,Bogdan Bogdanović,1610612746,SG,54,25.0,59.3,57.9,14.0,39.7,63.3,58.3,10.3,94.1,79.5,85.3,51.7
1641722,Jordan Hawkins,1610612740,SG,56,23.6,14.0,16.4,6.0,6.3,10.7,16.0,10.3,13.9,83.2,15.0,10.3
1630527,Brandon Boston,1610612740,SG,42,23.6,49.3,31.8,52.0,20.3,79.0,25.3,10.3,50.0,50.0,15.0,50.0
1631107,Nikola Jović,1610612748,PF,46,25.1,69.7,59.2,63.7,58.7,21.7,63.7,24.7,78.4,51.4,9.7,56.2
1628960,Grayson Allen,1610612756,SG,64,24.1,44.7,75.3,47.0,86.7,35.0,40.0,77.3,53.7,87.3,71.3,38.7
1630553,Keon Johnson,1610612751,SG,79,24.4,24.7,34.6,23.7,4.0,63.3,25.3,77.3,63.1,27.7,15.0,47.6
1626179,Terry Rozier,1610612748,PG,64,25.9,70.7,9.2,77.0,4.0,10.7,25.3,63.0,17.8,37.3,81.0,49.7
1630167,Obi Toppin,1610612754,PF,79,19.6,47.7,44.9,50.0,92.0,39.7,77.0,24.7,50.2,46.2,55.7,36.3
1629684,Grant Williams,1610612766,PF,16,29.9,16.0,80.5,84.7,56.0,35.0,85.0,63.0,86.8,37.3,46.0,33.2
1642377,Jaylen Wells,1610612763,SG,79,25.9,56.3,14.0,26.7,29.0,5.7,5.0,24.7,37.3,19.9,3.0,17.1
202685,Jonas Valančiūnas,1610612758,C,81,18.8,17.3,96.2,7.7,66.7,18.0,97.0,3.3,99.3,94.2,90.0,59.9
1630534,Ochai Agbaji,1610612761,SG,64,27.2,54.7,8.2,58.0,87.7,68.3,40.0,10.3,63.8,59.2,35.0,13.7
1629001,De'Anthony Melton,1610612751,SG,6,20.2,37.7,50.0,46.0,39.7,96.3,52.7,77.3,50.0,93.2,55.7,72.3
1630529,Herbert Jones,1610612740,SF,20,32.4,49.3,48.3,92.0,20.7,98.0,71.7,10.3,84.7,8.2,46.0,44.2
1630631,Jose Alvarado,1610612740,PG,56,24.4,93.3,26.0,99.3,16.3,92.7,16.0,88.7,22.0,78.8,55.7,87.3
1629645,Kevin Porter Jr.,1610612749,SG,75,19.8,56.3,33.2,10.3,12.3,87.0,5.0,77.3,89.2,72.6,35.0,83.2
1629651,Nic Claxton,1610612751,C,70,26.9,49.3,87.3,26.7,73.0,48.3,92.7,24.7,42.2,91.8,46.0,43.2
1630198,Isaiah Joe,1610612760,SG,74,21.7,94.7,22.9,84.3,89.3,48.3,63.7,77.3,43.6,68.5,46.0,26.0
1630570,Trendon Watford,1610612751,PF,44,20.7,20.0,11.3,15.3,20.7,56.0,52.7,77.3,59.9,58.6,23.0,71.9
1626145,Tyus Jones,1610612756,PG,81,26.8,98.7,38.4,99.0,69.3,39.7,40.0,10.3,8.0,40.8,71.3,88.4
1641709,Ausar Thompson,1610612765,SF,59,22.5,37.0,61.0,12.0,54.0,98.7,73.0,97.3,58.9,91.4,9.7,46.6
1627884,Derrick Jones Jr.,1610612746,SF,77,24.3,3.3,72.3,82.7,81.7,63.3,73.0,63.0,74.6,17.1,63.7,1.4
1642348,Justin Edwards,1610612755,SF,44,26.2,24.0,20.9,40.3,50.7,79.0,25.3,42.7,79.8,51.4,3.0,21.2
1631232,Keion Brooks Jr.,1610612740,SF,14,23.7,5.3,80.8,24.3,54.0,39.7,5.0,3.3,20.2,12.0,35.0,2.7
