,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
320,Jabari Walker,22,POR,SF,60,1,749,.515,10.1,.686,.415,.236,.022,.013,.314,.573,.684,.407,.400,.333,.389,.622,1.000,.070,16,.458,.455,1,0,,walkeja01
321,Jay Huff,26,MEM,C,64,2,748,.515,17.9,.344,.223,.089,.013,.020,.656,.724,.838,.667,.250,.000,.405,.842,.988,.177,47,.250,.360,0,0,,huffja01
322,Drew Eubanks,27,2TM,C,61,4,746,.593,4.7,.969,.361,.546,.062,.000,.031,.596,.743,.509,.500,,.500,.786,.667,.289,47,.833,.600,0,0,,eubandr01
322,Drew Eubanks,27,UTA,C,37,4,568,.607,5.5,.966,.331,.552,.083,.000,.034,.607,.750,.538,.500,,.600,.824,.667,.303,36,.800,.750,0,0,,eubandr01
322,Drew Eubanks,27,LAC,C,24,0,178,.551,4.0,.980,.449,.531,.000,.000,.020,.563,.727,.423,,,.000,.667,,.245,11,1.000,.000,0,0,,eubandr01
323,Talen Horton-Tucker,24,CHI,SG,58,0,724,.457,12.6,.581,.385,.168,.021,.007,.419,.544,.607,.429,.500,.000,.336,.348,.878,.045,12,.213,.423,0,0,,hortota01
324,Gary Harris,30,ORL,SG,48,3,711,.383,20.7,.241,.060,.128,.023,.030,.759,.469,.625,.412,.333,.500,.356,.600,.972,.008,1,.426,.372,0,0,,harriga01
325,Micah Potter,26,UTA,C,38,10,705,.422,18.8,.274,.156,.096,.015,.007,.726,.703,.810,.538,.500,1.000,.316,.654,1.000,.111,13,.571,.321,0,0,,pottemi01
326,Jett Howard,21,ORL,SF,60,0,701,.374,20.8,.290,.103,.092,.027,.069,.710,.566,.741,.458,.714,.389,.296,.488,.909,.027,3,.247,.370,2,0,,howarje01
327,DeAndre Jordan,36,DEN,C,56,5,691,.650,2.3,1.000,.686,.314,.000,.000,.000,.650,.760,.409,,,,.714,,.514,58,,,0,0,,jordade01
328,Quinten Post,24,GSW,PF,42,14,686,.449,18.5,.347,.128,.182,.015,.022,.653,.526,.543,.500,.750,.500,.408,.820,1.000,.033,7,.268,.417,1,0,,postqu01
329,Blake Wesley,21,SAS,SG,58,0,683,.435,10.8,.688,.446,.134,.065,.043,.312,.500,.602,.400,.333,.000,.293,.656,.941,.081,14,.362,.333,0,0,,weslebl01
330,Sandro Mamukelashvili,25,SAS,PF,61,0,681,.502,16.1,.427,.256,.146,.025,.000,.573,.675,.792,.488,.571,,.373,.667,1.000,.103,25,.211,.265,1,0,,mamuksa01
331,Marcus Smart,30,2TM,PG,34,7,680,.393,17.4,.451,.074,.280,.066,.031,.549,.448,.579,.403,.412,.625,.348,.385,.837,.004,0,.270,.342,3,0,,smartma01
331,Marcus Smart,30,MEM,PG,19,6,400,.358,18.3,.392,.061,.264,.047,.020,.608,.414,.556,.385,.286,.667,.322,.417,.828,.000,0,.267,.208,2,0,,smartma01
331,Marcus Smart,30,WAS,PG,15,1,280,.440,16.5,.532,.092,.303,.092,.046,.468,.483,.600,.424,.500,.600,.392,.357,.850,.009,0,.275,.571,1,0,,smartma01
332,Jalen Pickett,25,DEN,SG,49,4,666,.428,18.8,.439,.072,.133,.133,.100,.561,.468,.692,.625,.292,.333,.396,.432,.725,.000,0,.356,.472,1,0,,pickeja02
333,Tosan Evbuomwan,23,BRK,SF,28,0,665,.427,12.4,.650,.186,.345,.095,.023,.350,.490,.732,.382,.476,.200,.312,.557,1.000,.023,4,.416,.281,0,0,,evbuoto01
334,Antonio Reeves,24,NOP,SG,44,6,660,.456,16.4,.480,.190,.157,.101,.032,.520,.521,.617,.513,.440,.250,.395,.726,.863,.020,4,.349,.311,1,0,,reevean01
335,Kyle Lowry,38,PHI,PG,35,12,659,.350,22.5,.248,.051,.111,.034,.051,.752,.414,.667,.308,.750,.167,.330,.667,.931,.000,0,.182,.375,2,0,,lowryky01
336,Reed Sheppard,20,HOU,PG,52,3,654,.351,19.5,.406,.088,.109,.151,.059,.594,.371,.667,.269,.278,.357,.338,.333,.833,.008,1,.169,.250,0,0,,sheppre01
337,Herbert Jones,26,NOP,SF,20,20,648,.436,13.5,.581,.273,.221,.035,.052,.419,.530,.681,.263,.667,.778,.306,.698,1.000,.029,5,.486,.371,1,0,,joneshe01
338,AJ Johnson,20,2TM,SG,29,11,639,.385,12.0,.577,.291,.258,.028,.000,.423,.472,.565,.418,.000,,.267,.534,.667,.099,15,.122,.364,2,0,,johnsaj01
338,AJ Johnson,20,MIL,SG,7,0,44,.421,9.7,.737,.421,.316,.000,.000,.263,.357,.500,.167,,,.600,.600,.667,.053,0,.200,1.000,0,0,,johnsaj01
338,AJ Johnson,20,WAS,SG,22,11,595,.381,14.3,.562,.278,.253,.031,.000,.438,.486,.574,.449,.000,,.247,.528,.667,.103,15,.118,.300,2,0,,johnsaj01
339,Maxi Kleber,33,DAL,PF,34,4,637,.385,15.9,.490,.177,.208,.021,.083,.510,.511,.706,.300,.500,.625,.265,.833,.923,.073,6,.347,.235,0,0,,klebima01
340,Delon Wright,32,2TM,PG,40,7,635,.344,15.6,.443,.244,.153,.038,.008,.557,.431,.563,.250,.200,1.000,.274,.440,1.000,.000,0,.260,.421,0,0,,wrighde01
340,Delon Wright,32,MIL,PG,26,2,405,.268,17.3,.402,.183,.171,.049,.000,.598,.303,.467,.143,.250,,.245,.300,1.000,.000,0,.245,.500,0,0,,wrighde01
340,Delon Wright,32,NYK,PG,14,5,230,.469,13.9,.510,.347,.122,.020,.020,.490,.600,.647,.500,.000,1.000,.333,.533,1.000,.000,0,.292,.286,0,0,,wrighde01
341,Jericho Sims,26,2TM,C,53,5,632,.634,2.5,1.000,.718,.239,.042,.000,.000,.634,.725,.412,.333,,,.800,,.577,35,,,0,0,,simsje01
341,Jericho Sims,26,NYK,C,39,5,422,.609,2.3,1.000,.696,.283,.022,.000,.000,.609,.750,.308,.000,,,.714,,.587,22,,,0,0,,simsje01
341,Jericho Sims,26,MIL,C,14,0,210,.680,2.7,1.000,.760,.160,.080,.000,.000,.680,.684,.750,.500,,,.941,,.560,13,,,0,0,,simsje01
342,Josh Okogie,26,2TM,SG,40,7,625,.443,13.2,.566,.283,.250,.028,.005,.434,.517,.733,.302,.333,.000,.348,.629,1.000,.080,14,.522,.396,0,0,,okogijo01
342,Josh Okogie,26,PHO,SG,25,1,351,.491,11.2,.632,.351,.254,.018,.009,.368,.556,.700,.345,1.000,.000,.381,.675,1.000,.132,12,.690,.414,0,0,,okogijo01
342,Josh Okogie,26,CHO,SG,15,6,274,.388,15.2,.490,.204,.245,.041,.000,.510,.458,.800,.250,.000,,.320,.545,1.000,.020,2,.380,.368,0,0,,okogijo01
343,Jeff Dowtin Jr.,27,PHI,PG,41,3,621,.487,13.5,.696,.209,.217,.187,.083,.304,.525,.604,.440,.628,.316,.400,.298,.607,.004,1,.200,.500,0,0,,dowtije01
344,Daniel Theis,32,NOP,C,38,9,621,.473,11.1,.713,.310,.271,.116,.016,.287,.565,.700,.457,.467,.500,.243,.750,1.000,.116,11,.243,.000,0,0,,theisda01
345,Cory Joseph,33,ORL,PG,50,16,612,.403,20.4,.305,.091,.110,.052,.052,.695,.489,.643,.412,.375,.500,.364,.391,.872,.000,0,.215,.304,1,0,,josepco01
346,Zeke Nnaji,24,DEN,PF,57,4,608,.496,11.4,.631,.383,.199,.007,.043,.369,.596,.741,.321,1.000,.500,.327,.792,.941,.184,22,.519,.296,0,0,,nnajize01
347,Kessler Edwards,24,DAL,SF,40,18,608,.496,12.5,.600,.311,.207,.067,.015,.400,.556,.667,.464,.333,.500,.407,.822,1.000,.104,12,.500,.370,0,0,,edwarke02
348,Pat Connaughton,32,MIL,SG,41,1,603,.469,13.7,.542,.350,.164,.023,.006,.458,.594,.661,.448,.500,1.000,.321,.702,.885,.040,6,.235,.211,0,0,,connapa01
349,Ajay Mitchell,22,OKC,SG,36,1,597,.495,12.2,.674,.217,.353,.065,.038,.326,.548,.625,.492,.833,.143,.383,.397,.957,.005,0,.267,.375,1,0,,mitchaj01
350,Brandon Ingram,27,NOP,SF,18,18,595,.465,16.0,.655,.117,.153,.240,.144,.345,.514,.744,.412,.538,.396,.374,.402,.837,.027,9,.070,.250,0,0,,ingrabr01
351,Jared McCain,20,PHI,SG,23,8,592,.460,16.0,.515,.193,.179,.106,.036,.485,.532,.642,.429,.448,.700,.383,.320,.804,.007,2,.203,.333,0,0,ROY-7,mccaija01
352,Cam Reddish,25,LAL,SF,33,8,589,.404,14.7,.500,.245,.202,.032,.021,.500,.532,.870,.211,.000,.500,.277,.520,1.000,.096,8,.489,.304,0,0,,reddica01
353,Jae'Sean Tate,29,HOU,SF,52,2,588,.473,10.4,.689,.270,.385,.034,.000,.311,.529,.700,.421,.400,,.348,.519,1.000,.041,4,.674,.452,0,0,,tateja01
354,Olivier-Maxence Prosper,22,DAL,PF,52,4,584,.402,10.4,.707,.356,.276,.029,.046,.293,.472,.661,.313,.000,.250,.235,.638,1.000,.080,11,.667,.265,0,0,,prospol01
355,Jarred Vanderbilt,25,LAL,PF,36,2,581,.488,8.2,.736,.554,.174,.008,.000,.264,.562,.672,.238,.000,,.281,.700,1.000,.289,30,.750,.375,1,0,,vandeja01
356,Joel Embiid,30,PHI,C,19,19,574,.444,13.5,.756,.194,.194,.203,.165,.244,.492,.623,.508,.422,.404,.299,.538,.957,.016,5,.000,,0,0,,embiijo01
357,Monte Morris,29,PHO,PG,45,0,571,.426,16.1,.559,.056,.262,.144,.097,.441,.477,.909,.431,.393,.474,.360,.462,.903,.000,0,.465,.375,0,0,,morrimo01
358,Moritz Wagner,27,ORL,C,30,1,564,.562,9.5,.699,.486,.201,.008,.004,.301,.649,.711,.540,.000,.000,.360,.690,1.000,.076,18,.307,.391,0,0,,wagnemo01
359,Malcolm Brogdon,32,WAS,PG,24,13,564,.433,11.5,.767,.296,.242,.129,.100,.233,.478,.676,.362,.355,.333,.286,.364,.938,.000,0,.089,.400,1,0,,brogdma01
360,John Konchar,28,MEM,SG,46,4,558,.451,18.0,.319,.220,.066,.033,.000,.681,.621,.700,.500,.333,,.371,.667,1.000,.011,1,.500,.387,1,0,,konchjo01
361,Dwight Powell,33,DAL,C,55,3,551,.689,3.9,.918,.689,.213,.016,.000,.082,.714,.810,.462,.000,,.400,.775,1.000,.295,15,.800,.500,0,0,,poweldw01
362,Dillon Jones,23,OKC,SF,54,3,551,.383,14.4,.526,.286,.180,.045,.015,.474,.500,.658,.292,.333,.500,.254,.657,.938,.000,0,.206,.231,0,0,,jonesdi01
363,Jordan Goodwin,26,LAL,PG,29,5,543,.438,15.6,.528,.146,.215,.118,.049,.472,.487,.571,.484,.412,.429,.382,.459,.962,.000,0,.456,.419,0,0,,goodwjo01
364,Richaun Holmes,31,WAS,PF,31,7,534,.647,3.6,.978,.626,.309,.036,.007,.022,.662,.770,.488,.400,.000,.000,.633,,.281,39,.667,.000,0,0,,holmeri01
365,Mouhamed Gueye,22,ATL,PF,33,28,533,.421,13.3,.526,.339,.129,.053,.006,.474,.567,.655,.364,.556,.000,.259,.824,1.000,.170,25,.593,.250,0,0,,gueyemo02
366,Bismack Biyombo,32,SAS,C,28,26,528,.588,4.4,1.000,.465,.447,.088,.000,.000,.588,.698,.569,.100,,,.791,,.123,11,,,0,0,,biyombi01
367,Jaylen Clark,23,MIN,SG,40,4,522,.467,13.4,.575,.300,.217,.050,.008,.425,.493,.528,.462,.500,.000,.431,.559,1.000,.025,2,.549,.429,2,0,,clarkja02
368,Rob Dillingham,20,MIN,PG,49,1,516,.441,13.9,.649,.213,.223,.123,.090,.351,.496,.733,.404,.462,.211,.338,.309,.480,.014,3,.135,.500,0,0,,dilliro01
369,Colby Jones,22,2TM,SG,39,0,515,.457,14.6,.620,.178,.264,.140,.039,.380,.538,.696,.441,.556,.400,.327,.558,.938,.039,5,.245,.333,0,0,,jonesco02
369,Colby Jones,22,SAC,SG,24,0,130,.423,15.3,.615,.077,.346,.115,.077,.385,.438,1.000,.333,.333,.500,.400,.571,1.000,.000,0,.200,.000,0,0,,jonesco02
369,Colby Jones,22,WAS,SG,15,0,385,.466,14.0,.621,.204,.243,.146,.029,.379,.563,.667,.480,.600,.333,.308,.556,.917,.049,5,.256,.400,0,0,,jonesco02
370,Craig Porter Jr.,24,CLE,PG,51,1,513,.514,12.3,.657,.343,.200,.079,.036,.343,.554,.708,.393,.455,.200,.438,.529,.714,.050,6,.250,.333,2,1,,portecr01
371,Tristan Vukcevic,21,WAS,C,35,1,513,.496,15.1,.579,.186,.252,.103,.037,.421,.586,.800,.426,.520,.778,.373,.793,1.000,.058,14,.098,.300,2,0,,vukcetr01
372,Elfrid Payton,30,2TM,PG,24,9,511,.328,8.8,.951,.148,.525,.262,.016,.049,.336,.333,.375,.250,.500,.167,.179,1.000,.000,0,.167,.000,0,0,,paytoel01
372,Elfrid Payton,30,NOP,PG,18,7,388,.366,8.8,.941,.168,.515,.238,.020,.059,.379,.353,.404,.333,.500,.167,.194,1.000,.000,0,.167,.000,0,0,,paytoel01
372,Elfrid Payton,30,CHO,PG,6,2,123,.143,8.7,1.000,.048,.571,.381,.000,.000,.143,.000,.250,.000,,,.000,,.000,0,,,0,0,,paytoel01
373,Jamal Cain,25,NOP,SF,37,0,502,.430,15.4,.494,.190,.215,.070,.019,.506,.538,.767,.471,.273,.000,.325,.595,.885,.044,6,.488,.308,0,0,,cainja01
374,Keaton Wallace,25,ATL,PG,31,5,501,.401,18.0,.494,.080,.154,.191,.068,.506,.475,.538,.600,.419,.273,.329,.289,.815,.025,4,.122,.400,1,0,,wallake01
375,Jock Landale,29,HOU,C,42,3,500,.533,9.2,.829,.355,.289,.132,.053,.171,.556,.648,.545,.350,.500,.423,.629,.909,.105,15,.077,.000,0,0,,landajo01
376,Vince Williams Jr.,24,MEM,SG,27,5,499,.401,16.9,.431,.144,.210,.066,.012,.569,.569,.625,.543,.545,.500,.274,.610,.923,.012,1,.284,.370,1,0,,willivi01
377,Wendell Moore Jr.,23,2TM,SG,36,1,499,.468,11.1,.675,.389,.175,.071,.040,.325,.529,.612,.500,.333,.200,.341,.600,.929,.040,5,.537,.409,0,0,,moorewe01
377,Wendell Moore Jr.,23,DET,SG,20,1,219,.460,10.6,.720,.400,.180,.080,.060,.280,.528,.650,.444,.250,.333,.286,.684,.750,.020,1,.643,.333,0,0,,moorewe01
377,Wendell Moore Jr.,23,CHO,SG,16,0,280,.474,11.7,.645,.382,.171,.066,.026,.355,.531,.586,.538,.400,.000,.370,.538,1.000,.053,4,.481,.462,0,0,,moorewe01
378,Brandon Williams,25,DAL,PG,33,3,487,.521,12.1,.681,.356,.218,.069,.037,.319,.578,.672,.415,.615,.571,.400,.297,.833,.005,1,.200,.417,2,0,,willibr03
379,A.J. Lawson,24,TOR,SG,26,2,486,.421,14.6,.468,.289,.168,.011,.000,.532,.528,.618,.406,.000,,.327,.638,.939,.074,11,.347,.314,0,0,,lawsoaj01
380,Grant Williams,26,CHO,PF,16,7,479,.439,17.9,.398,.154,.154,.057,.033,.602,.551,.737,.579,.143,.250,.365,.815,1.000,.024,3,.203,.267,0,0,,willigr01
381,Lonnie Walker IV,26,PHI,SG,20,7,477,.420,19.0,.401,.165,.099,.061,.075,.599,.518,.686,.333,.462,.438,.354,.591,.778,.028,5,.142,.333,3,0,,walkelo01
382,Duop Reath,28,POR,C,46,0,469,.422,17.5,.361,.229,.108,.018,.006,.639,.600,.763,.333,.333,.000,.321,.472,.971,.030,5,.226,.333,0,0,,reathdu01
383,Reece Beekman,23,2TM,PG,36,4,469,.327,8.2,.626,.215,.318,.047,.047,.374,.418,.609,.382,.000,.200,.175,.464,1.000,.009,1,.400,.250,0,0,,beekmre01
383,Reece Beekman,23,GSW,PG,2,0,4,1.000,3.3,1.000,.000,1.000,.000,.000,.000,1.000,,1.000,,,,1.000,,.000,0,,,0,0,,beekmre01
383,Reece Beekman,23,BRK,PG,34,4,465,.321,13.1,.623,.217,.311,.047,.047,.377,.409,.609,.364,.000,.200,.175,.444,1.000,.009,1,.400,.250,0,0,,beekmre01
384,Kai Jones,24,2TM,C,40,6,468,.798,4.5,.954,.651,.156,.119,.028,.046,.827,.944,.706,.462,.333,.200,.826,1.000,.596,62,.200,.000,0,0,,joneska01
384,Kai Jones,24,LAC,C,28,0,208,.722,4.2,.944,.694,.167,.083,.000,.056,.765,.880,.667,.000,,.000,.885,,.694,23,.500,.000,0,0,,joneska01
384,Kai Jones,24,DAL,C,12,6,260,.836,4.9,.959,.630,.151,.137,.041,.041,.857,.978,.727,.600,.333,.333,.800,1.000,.548,39,.000,,0,0,,joneska01
385,Larry Nance Jr.,32,ATL,PF,24,3,463,.516,15.0,.510,.239,.206,.045,.019,.490,.582,.703,.469,.571,.333,.447,.848,.971,.135,16,.342,.423,2,0,,nancela02
386,Collin Gillespie,25,PHO,PG,33,9,461,.430,18.3,.430,.101,.190,.101,.038,.570,.426,.500,.400,.313,.667,.433,.276,.795,.000,0,.189,.529,2,0,,gilleco01
387,Rayan Rupert,20,POR,SG,52,0,460,.408,13.2,.585,.268,.254,.063,.000,.415,.506,.632,.389,.444,,.271,.524,.813,.035,5,.339,.350,0,0,,ruperra01
388,GG Jackson,20,MEM,PF,29,3,459,.372,14.6,.523,.236,.251,.025,.010,.477,.404,.553,.280,.200,.500,.337,.476,.938,.085,12,.284,.296,0,0,,jacksgg01
389,Jaylon Tyson,22,CLE,SG,47,3,453,.430,12.4,.611,.302,.242,.054,.013,.389,.484,.533,.444,.375,.500,.345,.477,.850,.047,5,.448,.346,0,0,,tysonja01
390,Bol Bol,25,PHO,PF,36,10,448,.525,17.3,.492,.098,.158,.153,.082,.508,.711,.833,.759,.679,.533,.344,.844,1.000,.055,10,.548,.353,0,0,,bolbo01
391,Paul Reed,25,DET,C,45,0,438,.507,9.6,.803,.359,.254,.155,.035,.197,.561,.765,.389,.318,.800,.286,.688,1.000,.141,18,.179,.200,0,0,,reedpa01
392,Colin Castleton,24,3TM,C,26,4,432,.469,9.1,.837,.337,.388,.112,.000,.163,.537,.697,.421,.455,,.125,.682,1.000,.102,8,.563,.111,0,0,,castlco01
392,Colin Castleton,24,MEM,C,10,0,46,.200,12.1,.600,.300,.300,.000,.000,.400,.333,.333,.333,,,.000,.500,,.000,0,.500,.000,0,0,,castlco01
392,Colin Castleton,24,TOR,C,11,4,288,.500,7.2,.875,.328,.438,.109,.000,.125,.536,.762,.357,.571,,.250,.733,1.000,.125,6,.625,.200,0,0,,castlco01
392,Colin Castleton,24,PHI,C,5,0,98,.500,7.9,.833,.375,.292,.167,.000,.167,.600,.667,.714,.250,,.000,.583,,.083,2,.500,.000,0,0,,castlco01
393,Trevelin Queen,27,ORL,SG,31,2,430,.381,16.2,.476,.238,.190,.027,.020,.524,.486,.600,.393,.250,.333,.286,.588,.818,.088,11,.234,.444,4,0,,queentr01
394,Malaki Branham,21,SAS,SG,47,0,427,.458,15.3,.558,.184,.195,.126,.053,.442,.500,.800,.351,.333,.400,.405,.509,.941,.026,4,.190,.438,0,0,,branhma01
395,Jordan Miller,25,LAC,SF,37,0,420,.433,10.2,.716,.313,.343,.060,.000,.284,.521,.619,.457,.375,,.211,.480,1.000,.052,6,.289,.182,0,0,,millejo02
396,Mo Bamba,26,2TM,C,32,2,413,.464,13.3,.518,.259,.214,.027,.018,.482,.638,.793,.458,.667,.500,.278,.649,1.000,.107,10,.352,.263,0,0,,bambamo01
396,Mo Bamba,26,LAC,C,28,2,352,.466,14.3,.515,.252,.214,.029,.019,.485,.623,.769,.455,.667,.500,.300,.636,1.000,.097,8,.340,.294,0,0,,bambamo01
396,Mo Bamba,26,NOP,C,4,0,61,.444,12.4,.556,.333,.222,.000,.000,.444,.800,1.000,.500,,,.000,.750,,.222,2,.500,.000,0,0,,bambamo01
397,David Roddy,23,3TM,PF,33,3,410,.456,16.3,.512,.216,.264,.032,.000,.488,.594,.667,.545,.500,,.311,.737,.842,.016,2,.262,.438,0,0,,roddyda01
397,David Roddy,23,ATL,PF,27,3,346,.473,14.3,.538,.247,.269,.022,.000,.462,.560,.609,.520,.500,,.372,.893,.875,.022,2,.302,.538,0,0,,roddyda01
397,David Roddy,23,PHI,PF,3,0,29,.421,16.9,.421,.211,.158,.053,.000,.579,.750,1.000,.333,1.000,,.182,.333,.500,.000,0,.182,.000,0,0,,roddyda01
397,David Roddy,23,HOU,PF,3,0,35,.385,17.7,.462,.000,.385,.077,.000,.538,.667,,.800,.000,,.143,.250,1.000,.000,0,.143,.000,0,0,,roddyda01
398,Taj Gibson,39,CHO,C,37,11,409,.495,5.1,.979,.505,.316,.137,.021,.021,.495,.625,.400,.231,.500,.500,.630,1.000,.095,9,1.000,.500,0,0,,gibsota01
399,Ousmane Dieng,21,OKC,C,37,1,405,.432,16.6,.432,.232,.120,.048,.032,.568,.574,.655,.467,.500,.500,.324,.742,.913,.136,16,.310,.318,0,0,,diengou01
400,Jordan Walsh,20,BOS,PF,52,1,403,.361,17.7,.337,.193,.145,.000,.000,.663,.536,.688,.333,,,.273,.467,1.000,.084,4,.418,.217,0,0,,walshjo01
401,Hunter Tyson,24,DEN,PF,51,2,400,.375,17.6,.383,.175,.142,.025,.042,.617,.478,.714,.235,.667,.200,.311,.682,.913,.067,6,.284,.286,0,0,,tysonhu01
402,Anthony Gill,32,WAS,PF,51,0,397,.489,11.8,.648,.295,.330,.011,.011,.352,.579,.654,.552,.000,.000,.323,.606,1.000,.011,1,.387,.333,0,0,,gillan01
403,Devin Carter,22,SAC,PG,36,0,396,.370,15.6,.520,.150,.268,.079,.016,.480,.439,.579,.412,.400,.000,.295,.345,.778,.063,8,.230,.214,0,0,,cartede02
404,Jeff Green,38,HOU,PF,32,3,396,.504,18.5,.347,.124,.099,.091,.033,.653,.762,.800,.750,.636,1.000,.367,.531,.966,.074,9,.506,.400,0,0,,greenje02
405,Trey Jemison,25,2TM,C,38,0,392,.554,3.9,1.000,.514,.419,.054,.014,.000,.554,.658,.484,.250,.000,,.756,,.203,13,,,0,0,,jemistr01
405,Trey Jemison,25,NOP,C,16,0,166,.469,4.1,1.000,.563,.344,.063,.031,.000,.469,.611,.273,.500,.000,,.733,,.219,6,,,0,0,,jemistr01
405,Trey Jemison,25,LAL,C,22,0,226,.619,3.8,1.000,.476,.476,.048,.000,.000,.619,.700,.600,.000,,,.769,,.190,7,,,0,0,,jemistr01
406,Reggie Jackson,34,PHI,PG,31,1,384,.391,18.3,.444,.128,.158,.083,.075,.556,.458,.647,.524,.273,.200,.338,.444,.800,.000,0,.189,.429,1,0,,jacksre01
407,Baylor Scheierman,24,BOS,SG,31,2,384,.355,21.3,.255,.073,.118,.018,.045,.745,.464,.625,.385,.000,.600,.317,.615,.885,.000,0,.280,.348,0,0,,scheiba01
408,Quenton Jackson,26,IND,PG,28,7,381,.475,10.8,.672,.451,.156,.025,.041,.328,.524,.618,.368,.333,.200,.375,.558,.933,.074,8,.300,.333,0,0,,jacksqu01
409,Alex Len,31,2TM,C,46,7,380,.508,7.5,.857,.429,.333,.079,.016,.143,.556,.630,.571,.200,.000,.222,.733,1.000,.206,9,.444,.250,0,0,,lenal01
409,Alex Len,31,SAC,C,36,3,258,.537,7.5,.854,.439,.317,.073,.024,.146,.600,.722,.538,.333,.000,.167,.762,1.000,.195,7,.500,.000,0,0,,lenal01
409,Alex Len,31,LAL,C,10,4,122,.455,7.5,.864,.409,.364,.091,.000,.136,.474,.444,.625,.000,,.333,.667,1.000,.227,2,.333,1.000,0,0,,lenal01
410,Johnny Furphy,20,IND,SG,50,0,379,.380,15.3,.457,.261,.174,.000,.022,.543,.476,.667,.250,,.000,.300,.850,.933,.098,8,.440,.364,0,0,,furphjo01
411,Charles Bassey,24,SAS,C,36,1,376,.581,3.5,1.000,.598,.299,.094,.009,.000,.581,.614,.571,.455,.000,,.779,,.325,30,,,0,0,,bassech01
412,Dominick Barlow,21,ATL,SF,35,4,375,.531,9.3,.761,.416,.195,.133,.018,.239,.616,.766,.500,.333,.500,.259,.717,1.000,.159,18,.815,.182,0,0,,barlodo01
413,Danté Exum,29,DAL,PG,20,13,372,.478,13.3,.604,.261,.239,.075,.030,.396,.506,.657,.375,.300,.750,.434,.415,.913,.030,2,.321,.588,1,0,,exumda01
414,Damion Baugh,24,CHO,SG,15,2,370,.323,13.7,.569,.208,.323,.031,.008,.431,.405,.630,.286,.250,.000,.214,.433,1.000,.008,0,.339,.105,0,0,,baughda01
415,Jaden Springer,22,2TM,PG,43,2,365,.389,16.6,.467,.144,.256,.056,.011,.533,.548,.846,.435,.400,.000,.250,.522,.917,.033,3,.458,.182,1,0,,sprinja01
415,Jaden Springer,22,BOS,SG,26,0,141,.353,17.3,.441,.147,.206,.088,.000,.559,.400,.600,.286,.333,,.316,.333,.833,.088,3,.474,.222,1,0,,sprinja01
415,Jaden Springer,22,UTA,PG,17,2,224,.411,15.9,.482,.143,.286,.036,.018,.518,.630,1.000,.500,.500,.000,.207,.588,1.000,.000,0,.448,.154,0,0,,sprinja01
416,Robert Williams,27,POR,C,20,3,351,.641,3.7,.962,.705,.205,.026,.026,.038,.653,.800,.250,.500,.000,.333,.755,1.000,.385,25,.667,.500,0,0,,williro04
417,Doug McDermott,33,SAC,SF,42,3,342,.427,23.3,.137,.043,.043,.026,.026,.863,.375,.600,.200,.333,.333,.436,1.000,1.000,.009,1,.277,.464,0,0,,mcderdo01
418,Christian Koloko,24,LAL,C,37,0,342,.606,4.6,.939,.621,.273,.015,.030,.061,.645,.707,.500,1.000,.500,.000,.825,,.455,25,.500,.000,0,0,,kolokch01
419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,.482,9.8,.728,.325,.333,.044,.026,.272,.530,.730,.368,.600,.000,.355,.841,1.000,.070,6,.645,.400,0,0,,shannte01
420,Keion Brooks Jr.,24,NOP,SF,14,6,332,.486,13.3,.606,.275,.202,.110,.018,.394,.591,.800,.318,.500,1.000,.326,.718,1.000,.092,8,.395,.412,0,0,,brookke02
421,Tristan Thompson,33,CLE,C,40,0,328,.437,5.8,.958,.465,.366,.113,.014,.042,.456,.606,.385,.125,.000,.000,.710,,.155,7,.333,.000,0,0,,thomptr01
422,Maxwell Lewis,22,2TM,SF,28,1,327,.417,13.7,.537,.167,.250,.065,.056,.463,.448,.722,.333,.429,.167,.380,.654,.895,.037,3,.400,.350,0,0,,lewisma05
422,Maxwell Lewis,22,LAL,SF,7,0,29,.333,12.6,1.000,.167,.167,.167,.500,.000,.333,1.000,1.000,.000,.000,,.500,,.000,0,,,0,0,,lewisma05
422,Maxwell Lewis,22,BRK,SF,21,1,298,.422,14.9,.510,.167,.255,.059,.029,.490,.462,.706,.308,.500,.333,.380,.667,.895,.039,3,.400,.350,0,0,,lewisma05
423,Jevon Carter,29,CHI,PG,36,1,321,.377,20.3,.281,.103,.082,.068,.027,.719,.488,.533,.417,.500,.500,.333,.600,.743,.007,1,.238,.400,0,0,,carteje01
424,Patty Mills,36,2TM,PG,29,0,321,.375,23.1,.219,.021,.094,.031,.073,.781,.476,.500,.556,.333,.429,.347,.500,.769,.000,0,.147,.455,0,0,,millspa02
