,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
90,Quentin Grimes,24,PHI,SG,28,25,943,.469,15.7,.520,.264,.100,.083,.072,.480,.559,.727,.391,.421,.333,.373,.361,.695,.037,16,.195,.535,0,0,,grimequ01
91,Jordan Poole,25,WAS,SG,68,68,2001,.432,18.8,.412,.166,.156,.056,.034,.588,.510,.703,.412,.271,.417,.378,.347,.574,.010,10,.087,.333,3,0,,poolejo01
92,Draymond Green,34,GSW,PF,68,66,1983,.424,14.9,.517,.187,.250,.053,.028,.483,.517,.600,.472,.444,.500,.325,.809,.988,.029,14,.390,.333,1,0,DPOY-3DEF1,greendr01
93,Devin Vassell,24,SAS,SG,64,53,1983,.443,17.2,.517,.139,.105,.175,.098,.483,.513,.677,.419,.474,.448,.368,.547,.861,.046,35,.228,.439,1,0,,vassede01
94,Klay Thompson,34,DAL,SF,72,72,1965,.412,20.1,.369,.067,.081,.105,.116,.631,.448,.712,.380,.370,.412,.391,.690,.944,.002,2,.264,.390,0,0,,thompkl01
95,Tyrese Maxey,24,PHI,PG,52,52,1960,.437,15.1,.562,.226,.220,.071,.044,.438,.515,.644,.408,.462,.479,.337,.307,.491,.014,15,.084,.275,3,0,CPOY-10,maxeyty01
96,Norman Powell,31,LAC,SG,60,60,1958,.484,15.3,.547,.184,.236,.086,.041,.453,.538,.718,.453,.420,.462,.418,.601,.793,.019,16,.145,.419,3,0,,powelno01
97,Yves Missi,20,NOP,C,73,67,1956,.547,2.8,.998,.667,.311,.018,.002,.002,.548,.619,.405,.444,.000,.000,.677,,.297,116,.000,,1,0,,missiyv01
98,Keon Ellis,25,SAC,SG,80,28,1948,.489,19.8,.308,.103,.119,.056,.030,.692,.615,.833,.600,.308,.500,.433,.682,.921,.050,23,.324,.510,0,0,,elliske01
99,Bilal Coulibaly,20,WAS,SF,59,59,1948,.421,13.3,.641,.268,.218,.096,.059,.359,.500,.749,.346,.283,.297,.281,.510,.905,.128,72,.232,.346,0,0,,coulibi01
100,Kyle Kuzma,29,2TM,PF,65,62,1936,.436,13.5,.631,.222,.285,.085,.039,.369,.512,.750,.413,.361,.212,.307,.573,.854,.029,24,.246,.325,4,1,,kuzmaky01
100,Kyle Kuzma,29,WAS,PF,32,30,887,.420,13.3,.648,.204,.314,.084,.046,.352,.495,.753,.399,.421,.143,.281,.548,.756,.037,17,.194,.387,1,0,,kuzmaky01
100,Kyle Kuzma,29,MIL,PF,33,32,1049,.455,13.7,.611,.242,.252,.087,.031,.389,.533,.747,.434,.294,.333,.333,.602,.941,.020,7,.301,.283,3,1,,kuzmaky01
101,Julian Champagnie,23,SAS,SF,82,29,1932,.415,19.3,.278,.159,.095,.009,.015,.722,.530,.623,.381,.667,.400,.371,.735,.972,.047,23,.302,.421,1,0,,champju02
102,Keon Johnson,22,BRK,SG,79,56,1925,.389,15.6,.485,.223,.191,.040,.031,.515,.468,.580,.362,.419,.375,.314,.492,.952,.059,36,.294,.331,2,0,,johnske07
103,Naji Marshall,27,DAL,SF,69,31,1919,.508,12.0,.694,.250,.330,.098,.015,.306,.611,.730,.528,.571,.727,.275,.483,1.000,.038,20,.482,.295,8,0,,marshna01
104,Jrue Holiday,34,BOS,PG,62,62,1896,.443,16.2,.466,.164,.209,.070,.023,.534,.547,.723,.458,.450,.385,.353,.493,.861,.003,1,.314,.302,0,0,,holidjr01
