PLAYER_ID,PLAYER_NAME,TEAM_ID,POSITION,GP,MIN,ast_tov_ratio,late_clock_efficiency,clutch_ast_tov,efg_pct,deflections_per_36,screen_assists_per_36,shooting_foul_pct,personal_foul_rate,age,ast_pct
1629651,Nic Claxton,1610612751,C,70,26.900,1.833,0.493,1.000,0.574,1.690,2.970,18.639,2.900,25,13.700
1630198,Isaiah Joe,1610612760,SG,74,21.700,3.200,0.346,2.880,0.608,1.380,0.460,18.892,2.500,25,9.700
1630570,Trendon Watford,1610612751,PF,44,20.700,1.368,0.318,0.500,0.506,1.470,0.350,23.517,3.700,24,21.000
1626145,Tyus Jones,1610612756,PG,81,26.800,4.818,0.375,4.336,0.571,1.530,0.370,8.390,1.000,28,27.700
1641709,Ausar Thompson,1610612765,SF,59,22.500,1.643,0.414,0.000,0.551,3.580,0.680,23.237,4.400,22,14.400
1627884,Derrick Jones Jr.,1610612746,SF,77,24.300,0.889,0.434,0.800,0.592,1.830,0.730,29.496,2.900,27,4.600
1642348,Justin Edwards,1610612755,SF,44,26.200,1.455,0.342,1.309,0.547,2.300,0.300,32.228,3.100,21,8.900
1631232,Keion Brooks Jr.,1610612740,SF,14,23.700,1.000,0.461,0.900,0.551,1.580,0.170,11.568,3.300,24,5.700
1629652,Luguentz Dort,1610612760,SF,71,29.200,2.286,0.412,2.000,0.571,2.270,0.760,28.484,3.600,25,6.900
1629614,Andrew Nembhard,1610612754,SG,65,28.900,2.941,0.405,1.333,0.506,1.970,0.280,25.682,2.900,25,22.500
1628449,Chris Boucher,1610612761,PF,50,17.200,1.167,0.485,2.000,0.581,0.900,0.080,23.713,2.800,32,5.900
1630533,Ziaire Williams,1610612751,SF,63,24.500,1.182,0.308,1.000,0.506,2.690,0.270,29.361,3.500,23,8.500
1627777,Georges Niang,1610612737,PF,79,21.500,1.400,0.400,1.260,0.596,0.950,0.990,65.386,4.300,31,8.800
1630577,Julian Champagnie,1610612759,SF,82,23.600,1.556,0.349,0.000,0.556,1.430,0.330,22.503,2.100,23,7.900
1628989,Kevin Huerter,1610612741,SG,69,24.300,2.300,0.510,2.070,0.528,2.060,0.490,48.217,2.600,26,12.600
1641733,Nick Smith Jr.,1610612766,SG,60,22.800,1.714,0.427,1.000,0.479,0.590,0.430,12.272,2.100,20,16.700
1630590,Scotty Pippen Jr.,1610612763,PG,79,21.300,2.588,0.430,4.000,0.553,2.680,0.140,28.330,4.300,24,27.100
1642267,Bub Carrington,1610612764,PG,82,30.000,2.588,0.329,3.000,0.500,1.280,0.330,29.580,2.800,19,21.200
1630541,Moses Moody,1610612744,SG,74,22.300,1.857,0.451,1.671,0.539,2.560,0.270,18.161,2.500,22,8.300
1629599,Amir Coffey,1610612746,SG,72,24.300,1.833,0.390,2.000,0.563,1.130,0.370,25.827,2.500,27,6.100
1642271,Kyle Filipowski,1610612762,C,72,21.100,1.357,0.522,0.667,0.576,1.490,1.350,33.537,4.000,21,13.900
1631108,Max Christie,1610612742,SG,78,27.300,1.727,0.397,1.000,0.520,1.190,0.450,47.489,1.900,21,9.200
1630592,Jalen Wilson,1610612751,PF,79,25.700,1.800,0.415,2.000,0.494,0.830,0.290,29.117,2.900,24,10.800
1630540,Miles McBride,1610612752,PG,64,24.900,4.833,0.373,0.000,0.518,2.000,0.340,19.936,2.400,24,15.600
1641787,Tosan Evbuomwan,1610612751,SF,28,23.700,1.429,0.321,1.500,0.487,1.750,0.290,13.740,3.000,23,12.900
1641710,Anthony Black,1610612753,PG,78,24.200,1.722,0.396,1.000,0.481,2.350,0.270,27.324,3.200,21,19.400
1641715,Cam Whitmore,1610612745,SF,51,16.200,1.111,0.339,1.000,0.525,1.250,0.070,11.721,1.900,20,8.900
1630175,Cole Anthony,1610612763,PG,67,18.400,1.933,,2.500,0.488,1.540,0.260,,4.400,24,25.500
1629622,Max Strus,1610612739,SF,50,25.500,2.909,0.400,2.000,0.593,0.920,0.720,34.386,2.900,28,15.600
