Player,Team,G,MP,Fouls Committed_Shoot,shooting_fouls_per_36
Orlando Robinson,2TM,44,770,62,2.899
Orlando Robinson,SAC,9,57,4,2.526
Orlando Robinson,TOR,35,713,58,2.928
Eric Gordon,PHI,39,768,19,0.891
Gui Santos,GSW,56,762,52,2.457
Landry Shamet,NYK,50,762,29,1.37
Svi Mykhailiuk,UTA,38,760,21,0.995
Andre Drummond,PHI,40,751,52,2.493
Jabari Walker,POR,60,749,39,1.874
Jay Huff,MEM,64,748,55,2.647
Drew Eubanks,2TM,61,746,39,1.882
Drew Eubanks,UTA,37,568,28,1.775
Drew Eubanks,LAC,24,178,11,2.225
Talen Horton-Tucker,CHI,58,724,32,1.591
Gary Harris,ORL,48,711,15,0.759
Micah Potter,UTA,38,705,32,1.634
Jett Howard,ORL,60,701,38,1.951
DeAndre Jordan,DEN,56,691,42,2.188
Quinten Post,GSW,42,686,50,2.624
Blake Wesley,SAS,58,683,25,1.318
Sandro Mamukelashvili,SAS,61,681,32,1.692
Marcus Smart,2TM,34,680,22,1.165
Marcus Smart,MEM,19,400,12,1.08
Marcus Smart,WAS,15,280,10,1.286
Jalen Pickett,DEN,49,666,18,0.973
Tosan Evbuomwan,BRK,28,665,27,1.462
Antonio Reeves,NOP,44,660,34,1.855
Kyle Lowry,PHI,35,659,31,1.693
Reed Sheppard,HOU,52,654,38,2.092
Herbert Jones,NOP,20,648,37,2.056
AJ Johnson,2TM,29,639,33,1.859
AJ Johnson,MIL,7,44,0,0.0
AJ Johnson,WAS,22,595,33,1.997
Maxi Kleber,DAL,34,637,41,2.317
Delon Wright,2TM,40,635,18,1.02
Delon Wright,MIL,26,405,11,0.978
Delon Wright,NYK,14,230,7,1.096
Jericho Sims,2TM,53,632,36,2.051
Jericho Sims,NYK,39,422,25,2.133
Jericho Sims,MIL,14,210,11,1.886
Josh Okogie,2TM,40,625,24,1.382
Josh Okogie,PHO,25,351,15,1.538
Josh Okogie,CHO,15,274,9,1.182
Jeff Dowtin Jr.,PHI,41,621,11,0.638
Daniel Theis,NOP,38,621,40,2.319
Cory Joseph,ORL,50,612,28,1.647
Zeke Nnaji,DEN,57,608,47,2.783
Kessler Edwards,DAL,40,608,40,2.368
Pat Connaughton,MIL,41,603,30,1.791
Ajay Mitchell,OKC,36,597,39,2.352
Brandon Ingram,NOP,18,595,22,1.331
Jared McCain,PHI,23,592,11,0.669
Cam Reddish,LAL,33,589,26,1.589
Jae'Sean Tate,HOU,52,588,36,2.204
